id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
230615024,s:40~l:46~e:230615024~c:230615024,2003-06-15T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,2003-06-15T23:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,88,TRUE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",77,FALSE,230615024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-06-15T23:30:00Z,2003-06-15,TRUE,TRUE
230613017,s:40~l:46~e:230613017~c:230613017,2003-06-14T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,2003-06-14T00:30Z,,,1,STD,7,7.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,83,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,93,TRUE,230613017,2003,3,"",2562,IZOD Center,East Rutherford,NJ,19990,TRUE,"",TRUE,2003-06-14T00:30:00Z,2003-06-13,TRUE,TRUE
230611017,s:40~l:46~e:230611017~c:230611017,2003-06-12T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,2003-06-12T00:30Z,,,1,STD,2,2.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,77,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,76,FALSE,230611017,2003,3,"",2562,IZOD Center,East Rutherford,NJ,19990,TRUE,"",TRUE,2003-06-12T00:30:00Z,2003-06-11,TRUE,TRUE
230608017,s:40~l:46~e:230608017~c:230608017,2003-06-09T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,2003-06-09T00:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,79,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,84,TRUE,230608017,2003,3,"",2562,IZOD Center,East Rutherford,NJ,19990,TRUE,"",TRUE,2003-06-09T00:30:00Z,2003-06-08,TRUE,TRUE
230606024,s:40~l:46~e:230606024~c:230606024,2003-06-06T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,2003-06-06T23:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,85,FALSE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",87,TRUE,230606024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-06-06T23:30:00Z,2003-06-06,TRUE,TRUE
230604024,s:40~l:46~e:230604024~c:230604024,2003-06-04T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,2003-06-04T23:30Z,,,1,STD,4,4.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,101,TRUE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",89,FALSE,230604024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-06-04T23:30:00Z,2003-06-04,TRUE,TRUE
230529006,s:40~l:46~e:230529006~c:230529006,2003-05-30T00:00Z,20812,TRUE,FALSE,FALSE,FALSE,2003-05-30T00:00Z,,,1,STD,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,78,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,90,TRUE,230529006,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,"",TRUE,2003-05-30T00:00:00Z,2003-05-29,TRUE,TRUE
230527024,s:40~l:46~e:230527024~c:230527024,2003-05-28T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2003-05-28T00:00Z,,,1,STD,21,21.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,91,FALSE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,103,TRUE,230527024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-05-28T00:00:00Z,2003-05-27,TRUE,TRUE
230525006,s:40~l:46~e:230525006~c:230525006,2003-05-25T23:30Z,20561,TRUE,FALSE,FALSE,FALSE,2003-05-25T23:30Z,,,1,STD,3,3.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,95,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,102,TRUE,230525006,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,"",TRUE,2003-05-25T23:30:00Z,2003-05-25,TRUE,TRUE
230524017,s:40~l:46~e:230524017~c:230524017,2003-05-25T00:00Z,19923,TRUE,FALSE,FALSE,FALSE,2003-05-25T00:00Z,,,1,STD,19,19.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,102,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,82,FALSE,230524017,2003,3,"",2562,IZOD Center,East Rutherford,NJ,19990,TRUE,"",TRUE,2003-05-25T00:00:00Z,2003-05-24,TRUE,TRUE
230523006,s:40~l:46~e:230523006~c:230523006,2003-05-24T00:00Z,20695,TRUE,FALSE,FALSE,FALSE,2003-05-24T00:00Z,,,1,STD,13,13.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,83,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,96,TRUE,230523006,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,"",TRUE,2003-05-24T00:00:00Z,2003-05-23,TRUE,TRUE
230522017,s:40~l:46~e:230522017~c:230522017,2003-05-23T00:30Z,19923,TRUE,FALSE,FALSE,FALSE,2003-05-23T00:30Z,,,1,STD,12,12.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,97,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,85,FALSE,230522017,2003,3,"",2562,IZOD Center,East Rutherford,NJ,19990,TRUE,"",TRUE,2003-05-23T00:30:00Z,2003-05-22,TRUE,TRUE
230521024,s:40~l:46~e:230521024~c:230521024,2003-05-21T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,2003-05-21T23:30Z,,,1,STD,5,5.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,119,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,106,FALSE,230521024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-05-21T23:30:00Z,2003-05-21,TRUE,TRUE
230520008,s:40~l:46~e:230520008~c:230520008,2003-05-21T00:00Z,22076,TRUE,FALSE,FALSE,FALSE,2003-05-21T00:00Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,86,FALSE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",88,TRUE,230520008,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,2003-05-21T00:00:00Z,2003-05-20,TRUE,TRUE
230519024,s:40~l:46~e:230519024~c:230519024,2003-05-20T00:30Z,18797,TRUE,FALSE,FALSE,FALSE,2003-05-20T00:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,110,FALSE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,113,TRUE,230519024,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,2003-05-20T00:30:00Z,2003-05-19,TRUE,TRUE
230518008,s:40~l:46~e:230518008~c:230518008,2003-05-18T17:30Z,22076,TRUE,FALSE,FALSE,FALSE,2003-05-18T17:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,74,FALSE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",76,TRUE,230518008,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,2003-05-18T17:30:00Z,2003-05-18,TRUE,TRUE
230517006,s:40~l:46~e:230517006~c:230517006,2003-05-17T23:00Z,20595,TRUE,FALSE,FALSE,FALSE,2003-05-17T23:00Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,112,TRUE,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,99,FALSE,230517006,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,"",TRUE,2003-05-17T23:00:00Z,2003-05-17,TRUE,TRUE
230516020,s:40~l:46~e:230516020~c:230516020,2003-05-16T23:30Z,20888,TRUE,FALSE,FALSE,FALSE,2003-05-16T23:30Z,,,1,STD,0,0.0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,TRUE,89,FALSE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,93,TRUE,230516020,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,1845,Wells Fargo Center,Philadelphia,PA,21000,TRUE,OT,TRUE,2003-05-16T23:30:00Z,2003-05-16,TRUE,TRUE
230515023,s:40~l:46~e:230515023~c:230515023,2003-05-15T23:30Z,17317,TRUE,FALSE,FALSE,FALSE,2003-05-15T23:30Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,TRUE,115,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,109,FALSE,230515023,2003,3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,2247,Sleep Train Arena,Sacramento,CA,17317,FALSE,"",TRUE,2003-05-15T23:30:00Z,2003-05-15,TRUE,TRUE
