id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,home_color,home_alternate_color,home_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
280617002,s:40~l:46~e:280617002~c:280617002,2008-06-18T01:00Z,18624,TRUE,FALSE,FALSE,FALSE,2008-06-18T01:00Z,event,NBA FINALS - GAME 6,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,TRUE,131,TRUE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,92,FALSE,280617002,2008,3,006532,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,1824,TD Garden,Boston,MA,19156,TRUE,"",TRUE,TRUE,TRUE,2008-06-18T01:00:00Z,2008-06-17
280615013,s:40~l:46~e:280615013~c:280615013,2008-06-15T22:00Z,18997,TRUE,FALSE,FALSE,FALSE,2008-06-15T22:00Z,event,NBA FINALS - GAME 5,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,TRUE,103,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,98,FALSE,280615013,2008,3,542582,552582,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,TRUE,TRUE,2008-06-15T22:00:00Z,2008-06-15
280612013,s:40~l:46~e:280612013~c:280612013,2008-06-12T22:00Z,18997,TRUE,FALSE,FALSE,FALSE,2008-06-12T22:00Z,event,NBA FINALS - GAME 4,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,TRUE,91,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,97,TRUE,280612013,2008,3,542582,552582,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,TRUE,TRUE,2008-06-12T22:00:00Z,2008-06-12
280610013,s:40~l:46~e:280610013~c:280610013,2008-06-10T22:00Z,18997,TRUE,FALSE,FALSE,FALSE,2008-06-10T22:00Z,event,NBA FINALS - GAME 3,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,TRUE,87,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,81,FALSE,280610013,2008,3,542582,552582,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,TRUE,TRUE,2008-06-10T22:00:00Z,2008-06-10
280608002,s:40~l:46~e:280608002~c:280608002,2008-06-09T01:00Z,18624,TRUE,FALSE,FALSE,FALSE,2008-06-09T01:00Z,event,NBA FINALS - GAME 2,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,TRUE,108,TRUE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,102,FALSE,280608002,2008,3,006532,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,1824,TD Garden,Boston,MA,19156,TRUE,"",TRUE,TRUE,TRUE,2008-06-09T01:00:00Z,2008-06-08
280605002,s:40~l:46~e:280605002~c:280605002,2008-06-06T01:00Z,18624,TRUE,FALSE,FALSE,FALSE,2008-06-06T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,TRUE,98,TRUE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,88,FALSE,280605002,2008,3,006532,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,1824,TD Garden,Boston,MA,19156,TRUE,"",TRUE,TRUE,TRUE,2008-06-06T01:00:00Z,2008-06-05
280530008,s:40~l:46~e:280530008~c:280530008,2008-05-31T00:30Z,22076,TRUE,FALSE,FALSE,FALSE,2008-05-31T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 6,16,SEMI,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,TRUE,81,FALSE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,89,TRUE,280530008,2008,3,FA002C,006bb6,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,TRUE,TRUE,2008-05-31T00:30:00Z,2008-05-30
280529013,s:40~l:46~e:280529013~c:280529013,2008-05-29T22:00Z,18997,TRUE,FALSE,FALSE,FALSE,2008-05-29T22:00Z,event,WESTERN CONFERENCE FINALS - GAME 5,16,SEMI,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,TRUE,100,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,92,FALSE,280529013,2008,3,542582,552582,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,TRUE,TRUE,2008-05-29T22:00:00Z,2008-05-29
280528002,s:40~l:46~e:280528002~c:280528002,2008-05-29T00:30Z,18624,TRUE,FALSE,FALSE,FALSE,2008-05-29T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 5,16,SEMI,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,TRUE,106,TRUE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,102,FALSE,280528002,2008,3,006532,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,1824,TD Garden,Boston,MA,19156,TRUE,"",TRUE,TRUE,TRUE,2008-05-29T00:30:00Z,2008-05-28
280527024,s:40~l:46~e:280527024~c:280527024,2008-05-28T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,2008-05-28T00:00Z,event,WESTERN CONFERENCE FINALS - GAME 4,16,SEMI,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,91,FALSE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,93,TRUE,280527024,2008,3,000000,061922,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,"",TRUE,TRUE,TRUE,2008-05-28T00:00:00Z,2008-05-27
280526008,s:40~l:46~e:280526008~c:280526008,2008-05-27T00:30Z,22076,TRUE,FALSE,FALSE,FALSE,2008-05-27T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 4,16,SEMI,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,TRUE,94,TRUE,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,75,FALSE,280526008,2008,3,FA002C,006bb6,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,TRUE,TRUE,2008-05-27T00:30:00Z,2008-05-26
