id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,status_type_alt_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,PBP,team_box,player_box,game_date_time,game_date
290614019,s:40~l:46~e:290614019~c:290614019,2009-06-15T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-15T00:00Z,event,NBA FINALS - GAME 5,17,FINAL,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,86,FALSE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,99,TRUE,290614019,2009,3,TRUE,TRUE,TRUE,2009-06-15T00:00:00Z,2009-06-14
290611019,s:40~l:46~e:290611019~c:290611019,2009-06-12T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-12T01:00Z,event,NBA FINALS - GAME 4,17,FINAL,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,OT,4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,91,FALSE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,99,TRUE,290611019,2009,3,TRUE,TRUE,TRUE,2009-06-12T01:00:00Z,2009-06-11
290609019,s:40~l:46~e:290609019~c:290609019,2009-06-10T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-10T01:00Z,event,NBA FINALS - GAME 3,17,FINAL,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,108,TRUE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,104,FALSE,290609019,2009,3,FALSE,TRUE,TRUE,2009-06-10T01:00:00Z,2009-06-09
290607013,s:40~l:46~e:290607013~c:290607013,2009-06-08T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-08T00:00Z,event,NBA FINALS - GAME 2,17,FINAL,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,OT,4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,101,TRUE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,96,FALSE,290607013,2009,3,TRUE,TRUE,TRUE,2009-06-08T00:00:00Z,2009-06-07
290604013,s:40~l:46~e:290604013~c:290604013,2009-06-05T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-05T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,100,TRUE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,75,FALSE,290604013,2009,3,TRUE,TRUE,TRUE,2009-06-05T01:00:00Z,2009-06-04
290530019,s:40~l:46~e:290530019~c:290530019,2009-05-31T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-31T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 6,16,SEMI,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,103,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,90,FALSE,290530019,2009,3,TRUE,TRUE,TRUE,2009-05-31T00:30:00Z,2009-05-30
290529007,s:40~l:46~e:290529007~c:290529007,2009-05-30T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-30T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 6,16,SEMI,892,Ball Arena,Denver,CO,19520,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,92,FALSE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,119,TRUE,290529007,2009,3,TRUE,TRUE,TRUE,2009-05-30T01:00:00Z,2009-05-29
290528005,s:40~l:46~e:290528005~c:290528005,2009-05-29T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-29T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 5,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,112,TRUE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,102,FALSE,290528005,2009,3,TRUE,TRUE,TRUE,2009-05-29T00:30:00Z,2009-05-28
290527013,s:40~l:46~e:290527013~c:290527013,2009-05-28T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-28T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 5,16,SEMI,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,103,TRUE,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,94,FALSE,290527013,2009,3,TRUE,TRUE,TRUE,2009-05-28T01:00:00Z,2009-05-27
290526019,s:40~l:46~e:290526019~c:290526019,2009-05-27T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-27T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 4,16,SEMI,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,OT,4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,116,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,114,FALSE,290526019,2009,3,TRUE,TRUE,TRUE,2009-05-27T00:30:00Z,2009-05-26
290525007,s:40~l:46~e:290525007~c:290525007,2009-05-26T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-26T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 4,16,SEMI,892,Ball Arena,Denver,CO,19520,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,120,TRUE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,101,FALSE,290525007,2009,3,TRUE,TRUE,TRUE,2009-05-26T01:00:00Z,2009-05-25
290524019,s:40~l:46~e:290524019~c:290524019,2009-05-25T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-25T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 3,16,SEMI,4042,Amway Arena,Orlando,FL,17461,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,99,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,89,FALSE,290524019,2009,3,TRUE,TRUE,TRUE,2009-05-25T00:30:00Z,2009-05-24
290523007,s:40~l:46~e:290523007~c:290523007,2009-05-24T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-24T00:30Z,event,WESTERN CONFERENCE FINALS - GAME 3,16,SEMI,892,Ball Arena,Denver,CO,19520,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,97,FALSE,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,103,TRUE,290523007,2009,3,TRUE,TRUE,TRUE,2009-05-24T00:30:00Z,2009-05-23
290522005,s:40~l:46~e:290522005~c:290522005,2009-05-23T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-23T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 2,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,96,TRUE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,95,FALSE,290522005,2009,3,TRUE,TRUE,TRUE,2009-05-23T00:30:00Z,2009-05-22
290521013,s:40~l:46~e:290521013~c:290521013,2009-05-22T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-22T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 2,16,SEMI,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,103,FALSE,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,106,TRUE,290521013,2009,3,TRUE,TRUE,TRUE,2009-05-22T01:00:00Z,2009-05-21
290520005,s:40~l:46~e:290520005~c:290520005,2009-05-21T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-21T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 1,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,106,FALSE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,107,TRUE,290520005,2009,3,TRUE,TRUE,TRUE,2009-05-21T00:30:00Z,2009-05-20
290519013,s:40~l:46~e:290519013~c:290519013,2009-05-20T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-20T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 1,16,SEMI,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,105,TRUE,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,103,FALSE,290519013,2009,3,TRUE,TRUE,TRUE,2009-05-20T01:00:00Z,2009-05-19
290517002,s:40~l:46~e:290517002~c:290517002,2009-05-18T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-05-18T00:00Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 7,15,QTR,1824,TD Garden,Boston,MA,19156,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,"",4,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,82,FALSE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,101,TRUE,290517002,2009,3,TRUE,TRUE,TRUE,2009-05-18T00:00:00Z,2009-05-17
