id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,venue_address_state,home_color,home_alternate_color,home_venue_id,home_logo,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
400559378,s:40~l:46~e:400559378~c:400559378,2014-06-16T00:00Z,18581,TRUE,FALSE,FALSE,FALSE,2014-06-16T00:00Z,event,NBA FINALS - GAME 5,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,104,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,87,FALSE,400559378,2014,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2014-06-16T00:00:00Z,2014-06-15
400559377,s:40~l:46~e:400559377~c:400559377,2014-06-13T01:00Z,19900,TRUE,FALSE,FALSE,FALSE,2014-06-13T01:00Z,event,NBA FINALS - GAME 4,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,86,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,107,TRUE,400559377,2014,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2014-06-13T01:00:00Z,2014-06-12
400559376,s:40~l:46~e:400559376~c:400559376,2014-06-11T01:00Z,19900,TRUE,FALSE,FALSE,FALSE,2014-06-11T01:00Z,event,NBA FINALS - GAME 3,17,FINAL,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,92,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,111,TRUE,400559376,2014,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2014-06-11T01:00:00Z,2014-06-10
400559375,s:40~l:46~e:400559375~c:400559375,2014-06-09T00:00Z,18581,TRUE,FALSE,FALSE,FALSE,2014-06-09T00:00Z,event,NBA FINALS - GAME 2,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,96,FALSE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,98,TRUE,400559375,2014,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2014-06-09T00:00:00Z,2014-06-08
400559374,s:40~l:46~e:400559374~c:400559374,2014-06-06T01:00Z,18581,TRUE,FALSE,FALSE,FALSE,2014-06-06T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,110,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,95,FALSE,400559374,2014,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2014-06-06T01:00:00Z,2014-06-05
400558959,s:40~l:46~e:400558959~c:400558959,2014-06-01T00:30Z,18203,TRUE,FALSE,FALSE,FALSE,2014-06-01T00:30Z,event,WESTERN CONFERENCE FINALS - GAME 6,16,SEMI,2559,Paycom Center,Oklahoma City,18203,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,TRUE,107,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,112,TRUE,400558959,2014,3,OK,C67C03,f05133,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,OT,TRUE,TRUE,TRUE,2014-06-01T00:30:00Z,2014-05-31
400558919,s:40~l:46~e:400558919~c:400558919,2014-05-31T00:30Z,20021,TRUE,FALSE,FALSE,FALSE,2014-05-31T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 6,16,SEMI,3438,FTX Arena,Miami,19600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,TRUE,117,TRUE,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,TRUE,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,92,FALSE,400558919,2014,3,FL,000000,000000,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,"",TRUE,TRUE,TRUE,2014-05-31T00:30:00Z,2014-05-30
400558958,s:40~l:46~e:400558958~c:400558958,2014-05-30T01:00Z,18581,TRUE,FALSE,FALSE,FALSE,2014-05-30T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 5,16,SEMI,780,AT&T Center,San Antonio,18354,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,TRUE,117,TRUE,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,C67C03,f05133,TRUE,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,89,FALSE,400558958,2014,3,TX,000000,061922,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,"",TRUE,TRUE,TRUE,2014-05-30T01:00:00Z,2014-05-29
400558918,s:40~l:46~e:400558918~c:400558918,2014-05-29T00:30Z,18165,TRUE,FALSE,FALSE,FALSE,2014-05-29T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 5,16,SEMI,2183,Gainbridge Fieldhouse,Indianapolis,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,TRUE,93,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,90,FALSE,400558918,2014,3,IN,061642,00275d,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,"",TRUE,TRUE,TRUE,2014-05-29T00:30:00Z,2014-05-28
400558957,s:40~l:46~e:400558957~c:400558957,2014-05-28T01:00Z,18203,TRUE,FALSE,FALSE,FALSE,2014-05-28T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 4,16,SEMI,2559,Paycom Center,Oklahoma City,18203,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,TRUE,105,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,92,FALSE,400558957,2014,3,OK,C67C03,f05133,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,"",TRUE,TRUE,TRUE,2014-05-28T01:00:00Z,2014-05-27
