id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
400796850,s:40~l:46~e:400796850~c:400796850,2015-06-17T01:00Z,20562,TRUE,FALSE,FALSE,FALSE,2015-06-17T01:00Z,event,NBA FINALS - GAME 6,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,97,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,105,TRUE,400796850,2015,3,"",TRUE,TRUE,TRUE,2015-06-17T01:00:00Z,2015-06-16
400796849,s:40~l:46~e:400796849~c:400796849,2015-06-15T00:00Z,19596,TRUE,FALSE,FALSE,FALSE,2015-06-15T00:00Z,event,NBA FINALS - GAME 5,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,104,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,91,FALSE,400796849,2015,3,"",TRUE,TRUE,TRUE,2015-06-15T00:00:00Z,2015-06-14
400796848,s:40~l:46~e:400796848~c:400796848,2015-06-12T01:00Z,20562,TRUE,FALSE,FALSE,FALSE,2015-06-12T01:00Z,event,NBA FINALS - GAME 4,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,82,FALSE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,103,TRUE,400796848,2015,3,"",TRUE,TRUE,TRUE,2015-06-12T01:00:00Z,2015-06-11
400796847,s:40~l:46~e:400796847~c:400796847,2015-06-10T01:00Z,20562,TRUE,FALSE,FALSE,FALSE,2015-06-10T01:00Z,event,NBA FINALS - GAME 3,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,96,TRUE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,91,FALSE,400796847,2015,3,"",TRUE,TRUE,TRUE,2015-06-10T01:00:00Z,2015-06-09
400796846,s:40~l:46~e:400796846~c:400796846,2015-06-08T00:00Z,19596,TRUE,FALSE,FALSE,FALSE,2015-06-08T00:00Z,event,NBA FINALS - GAME 2,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,93,FALSE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,95,TRUE,400796846,2015,3,OT,TRUE,TRUE,TRUE,2015-06-08T00:00:00Z,2015-06-07
400796845,s:40~l:46~e:400796845~c:400796845,2015-06-05T01:00Z,19596,TRUE,FALSE,FALSE,FALSE,2015-06-05T01:00Z,event,NBA FINALS - GAME 1,17,FINAL,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,108,TRUE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,100,FALSE,400796845,2015,3,OT,TRUE,TRUE,TRUE,2015-06-05T01:00:00Z,2015-06-04
400796359,s:40~l:46~e:400796359~c:400796359,2015-05-28T01:00Z,19596,TRUE,FALSE,FALSE,FALSE,2015-05-28T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 5,16,SEMI,2465,ORACLE Arena,Oakland,CA,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,104,TRUE,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,TRUE,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,90,FALSE,400796359,2015,3,"",TRUE,TRUE,TRUE,2015-05-28T01:00:00Z,2015-05-27
400796269,s:40~l:46~e:400796269~c:400796269,2015-05-27T00:30Z,20562,TRUE,FALSE,FALSE,FALSE,2015-05-27T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 4,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,118,TRUE,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,TRUE,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,88,FALSE,400796269,2015,3,"",TRUE,TRUE,TRUE,2015-05-27T00:30:00Z,2015-05-26
400796358,s:40~l:46~e:400796358~c:400796358,2015-05-26T01:00Z,18239,TRUE,FALSE,FALSE,FALSE,2015-05-26T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 4,16,SEMI,1394,Toyota Center (Houston),Houston,TX,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,TRUE,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,128,TRUE,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,115,FALSE,400796358,2015,3,"",TRUE,TRUE,TRUE,2015-05-26T01:00:00Z,2015-05-25
400796268,s:40~l:46~e:400796268~c:400796268,2015-05-25T00:30Z,20562,TRUE,FALSE,FALSE,FALSE,2015-05-25T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 3,16,SEMI,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,114,TRUE,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,TRUE,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,111,FALSE,400796268,2015,3,OT,TRUE,TRUE,TRUE,2015-05-25T00:30:00Z,2015-05-24
